signature,closure_depth,q_abs,observed_fraction,tensor_fraction,source_disposition,source_subbucket,typed_guard_allowed
2+2+12,3,0,5468635416666666666666666666666666666666666666666666666666666666666666666666666666666666666666666667/1000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,3417897135416666666666666666666666666666666666666666666666666666666666666666666666666666666666666667/5000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,LEGAL_LOCAL_TEMPLATE,TRIAD_ALLOWED,true
2+3+3,3,1,3960334201388888888888888888888888888888888888888888888888888888888888888888888888888888888888888889/5000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,4984795652789834104938271604938271604938271604938271604938271604938271604938271604938271604938271603/50000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,LEGAL_LOCAL_TEMPLATE,TRIAD_ALLOWED,true
2+3+4,0,0,-261,0,REJECTED,TRIAD_SURFACE_REJECTED,false
2+3+6,3,1,882074435763888888888888888888888888888888888888888888888888888888888888888888888888888888888888889/500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,555124970424322434413580246913580246913580246913580246913580246913580246913580246913580246913580247/2500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,LEGAL_LOCAL_TEMPLATE,TRIAD_ALLOWED,true
2+3+8,3,1,1385883029513888888888888888888888888888888888888888888888888888888888888888888888888888888888888889/500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,27910144344376929012345679012345679012345679012345679012345679012345679012345679012345679012345679/80000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,LEGAL_LOCAL_TEMPLATE,TRIAD_ALLOWED,true
2+3+9,3,1,1692142795138888888888888888888888888888888888888888888888888888888888888888888888888888888888888889/500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,2129867233464747299382716049382716049382716049382716049382716049382716049382716049382716049382716049/5000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,LEGAL_LOCAL_TEMPLATE,TRIAD_ALLOWED,true
2+3+12,3,1,2826238498263888888888888888888888888888888888888888888888888888888888888888888888888888888888888889/500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,7114662886254581404320987654320987654320987654320987654320987654320987654320987654320987654320987651/10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,LEGAL_LOCAL_TEMPLATE,TRIAD_ALLOWED,true
2+4+4,3,1,82951/64,1631387668185763888888888888888888888888888888888888888888888888888888888888888888888888888888888889/10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,LEGAL_LOCAL_TEMPLATE,TRIAD_ALLOWED,true
2+4+6,0,2,2856,1809791666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666667/5000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,LEGAL_LOCAL_TEMPLATE,TRIAD_ALLOWED,true
2+4+8,3,0,193417/64,193417/512,LEGAL_LOCAL_TEMPLATE,TRIAD_ALLOWED,true
2+4+9,0,2,5151,3264088541666666666666666666666666666666666666666666666666666666666666666666666666666666666666666667/5000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,LEGAL_LOCAL_TEMPLATE,TRIAD_ALLOWED,true
2+4+12,0,2,8364,530010416666666666666666666666666666666666666666666666666666666666666666666666666666666666666666667/500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,LEGAL_LOCAL_TEMPLATE,TRIAD_ALLOWED,true
2+6+6,3,4,2736626736111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111/1000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,3515805181809413580246913580246913580246913580246913580246913580246913580246913580246913580246913581/10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,LEGAL_LOCAL_TEMPLATE,TRIAD_ALLOWED,true
2+6+8,3,2,1872248263888888888888888888888888888888888888888888888888888888888888888888888888888888888888888889/500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,593203659999517746913580246913580246913580246913580246913580246913580246913580246913580246913580247/1250000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,LEGAL_LOCAL_TEMPLATE,TRIAD_ALLOWED,true
2+6+9,3,4,4356997829861111111111111111111111111111111111111111111111111111111111111111111111111111111111111111/1000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,5597531934196566358024691358024691358024691358024691358024691358024691358024691358024691358024691359/10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,LEGAL_LOCAL_TEMPLATE,TRIAD_ALLOWED,true
2+6+12,3,4,6625517361111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111/1000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,8511949387538580246913580246913580246913580246913580246913580246913580246913580246913580246913580249/10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,LEGAL_LOCAL_TEMPLATE,TRIAD_ALLOWED,true
2+8+8,0,4,7524,4833125000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001/5000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,LEGAL_LOCAL_TEMPLATE,TRIAD_ALLOWED,true
2+8+9,3,6,1373631/256,3493324279785156250000000000000000000000000000000000000000000000000000000000000000000000000000000001/5000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,LEGAL_LOCAL_TEMPLATE,TRIAD_ALLOWED,true
2+8+12,3,6,488607/64,2485183715820312500000000000000000000000000000000000000000000000000000000000000000000000000000000001/2500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,LEGAL_LOCAL_TEMPLATE,TRIAD_ALLOWED,true
2+9+9,3,7,1494558376736111111111111111111111111111111111111111111111111111111111111111111111111111111111111111/250000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,3918026300124180169753086419753086419753086419753086419753086419753086419753086419753086419753086419/5000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,LEGAL_LOCAL_TEMPLATE,TRIAD_ALLOWED,true
2+9+12,3,7,2061770290798611111111111111111111111111111111111111111111111111111111111111111111111111111111111111/250000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,540498808872552565586419753086419753086419753086419753086419753086419753086419753086419753086419753/500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,LEGAL_LOCAL_TEMPLATE,TRIAD_ALLOWED,true
2+12+12,3,10,525872482638888888888888888888888888888888888888888888888888888888888888888888888888888888888888889/50000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,140597851261091820987654320987654320987654320987654320987654320987654320987654320987654320987654321/100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,LEGAL_LOCAL_TEMPLATE,TRIAD_ALLOWED,true
3+3+3,0,0,-243,0,REJECTED,TRIAD_SURFACE_REJECTED,false
3+3+4,3,1,1223896701388888888888888888888888888888888888888888888888888888888888888888888888888888888888888889/1000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1540494980046778549382716049382716049382716049382716049382716049382716049382716049382716049382716049/10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,LEGAL_LOCAL_TEMPLATE,TRIAD_ALLOWED,true
3+3+6,0,0,-486,0,REJECTED,TRIAD_SURFACE_REJECTED,false
3+3+8,3,2,737902126736111111111111111111111111111111111111111111111111111111111111111111111111111111111111111/250000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,935188459231529706790123456790123456790123456790123456790123456790123456790123456790123456790123457/2500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,LEGAL_LOCAL_TEMPLATE,TRIAD_ALLOWED,true
3+3+9,0,0,-891,0,REJECTED,TRIAD_SURFACE_REJECTED,false
3+3+12,0,0,-1458,0,REJECTED,TRIAD_SURFACE_REJECTED,false
3+4+4,3,0,1475092447916666666666666666666666666666666666666666666666666666666666666666666666666666666666666667/1000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,921932779947916666666666666666666666666666666666666666666666666666666666666666666666666666666666667/5000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,LEGAL_LOCAL_TEMPLATE,TRIAD_ALLOWED,true
