bin_index,label,ell_center,X_data,X_sig,X_model,residual,residual_over_sigma
24,deep_TT_24,1800.5,0.0007430897600151366,3.242546268511979e-05,0.0006917475950772778,5.1342164937858846e-05,1.5833903570301258
25,deep_TT_25,1850.5,0.0005433840029152635,2.64904535752108e-05,0.000547307877921167,-3.923875005903531e-06,-0.14812411553328064
26,deep_TT_26,1900.5,0.0004616531997197308,2.117249639909346e-05,0.00043756306229289764,2.4090137426833146e-05,1.1378033545380415
27,deep_TT_27,1950.5,0.000429580629197153,1.826949666245408e-05,0.0003843841662643049,4.5196462932848094e-05,2.4738756501010797
28,deep_TT_28,2000.5,0.0003573684197444527,1.643547714443972e-05,0.0003667264616119797,-9.358041867527024e-06,-0.5693806018094789
29,deep_TT_29,2075.5,0.0003360343806254969,9.629520547068746e-06,0.0003181784201936626,1.785596043183432e-05,1.854293819152785
30,deep_TT_30,2175.5,0.0002061970140912308,7.046160798304964e-06,0.0002081908463823319,-1.9938322911011025e-06,-0.2829671857021404
31,deep_TT_31,2275.5,0.0001458867779524735,4.778548072032595e-06,0.00014317886207088415,2.70791588158936e-06,0.5666817285857136
32,deep_TT_32,2375.5,0.0001205574313313991,3.997773666080113e-06,0.00011904611350420293,1.5113178271961676e-06,0.3780398675440876
33,deep_TT_33,2475.5,9.366229471343104e-05,3.272129013611553e-06,8.636023827494464e-05,7.302056438486404e-06,2.2315918498662413
34,deep_TT_34,2625.5,5.783977923041675e-05,1.658068474407625e-06,5.696277938543751e-05,8.769998449792405e-07,0.5289286048892309
35,deep_TT_35,2825.5,3.205164659465481e-05,1.209710455093713e-06,3.135546334917417e-05,6.961832454806398e-07,0.5754957664036295
36,deep_TT_36,3025.5,1.730297480764875e-05,9.13155661314523e-07,1.779262805696525e-05,-4.896532493164988e-07,-0.536221008159358
37,deep_TT_37,3325.5,7.58678961524538e-06,5.180665807389633e-07,7.963535891860497e-06,-3.7674627661511773e-07,-0.7272159421627464
38,deep_TT_38,3725.5,1.984300610281604e-06,4.020419132114121e-07,2.6274719742825384e-06,-6.431713640009346e-07,-1.5997619722367742
39,deep_TT_39,4125.5,3.958595022353442e-07,3.283864306751184e-07,9.598850009576816e-07,-5.640254987223374e-07,-1.717566397499363
40,deep_TE_00,350.5,0.003578818659703052,0.0008873699627815777,0.004690751259165924,-0.001111932599462872,-1.2530654023687857
41,deep_TE_01,400.5,-0.0003402321657799398,0.0006139472159077405,-3.128838763696583e-05,-0.00030894377814297394,-0.5032090221081803
42,deep_TE_02,450.5,-0.002449462095944036,0.0004107688724637625,-0.002180625812459076,-0.00026883628348496006,-0.654470923934667
43,deep_TE_03,500.5,-0.001447491266299003,0.0002931867694798271,-0.0014950867927018942,4.7595526402891214e-05,0.16233858876829724
44,deep_TE_04,550.5,3.489198425828105e-05,0.0002331875275935327,2.8835394215333216e-05,6.056590042947831e-06,0.025973044551100624
