sample_idx,mass_density_modulation_BEC,MEMS_pressure,EM_laser_focal,acoustic_phonon,charge_pulse_low_field,spontaneous_baseline
804,-2.3815,-3.481,-2.9273,-12.0125,-6.9292,-20.3135
805,-2.7922,-3.8917,-3.338,-12.4231,-7.3399,-20.7242
806,-2.3233,-3.4221,-2.8684,-11.9535,-6.8703,-20.301
807,-2.5556,-3.655,-3.1013,-12.1865,-7.1033,-20.4875
808,-2.3233,-3.406,-2.8523,-11.9375,-6.8543,-20.301
809,-2.3233,-3.4162,-2.8625,-11.9477,-6.8645,-20.301
810,-2.4228,-3.5223,-2.9686,-12.0538,-6.9705,-20.3548
811,-2.5837,-3.6831,-3.1294,-12.2146,-7.1314,-20.5156
812,-2.744,-3.8434,-3.2897,-12.3749,-7.2917,-20.6759
813,-2.3233,-3.3979,-2.677,-11.7622,-6.679,-20.301
814,-2.3233,-3.3979,-2.8284,-11.9135,-6.8303,-20.301
815,-2.6899,-3.7893,-3.2356,-12.3208,-7.2376,-20.6219
816,-2.3233,-3.3979,-2.583,-11.6682,-6.585,-20.301
817,-2.9186,-4.018,-3.4643,-12.5495,-7.4663,-20.8505
818,-2.3233,-3.3979,-2.6202,-11.7053,-6.6221,-20.301
819,-2.3233,-3.3979,-2.6677,-11.7529,-6.6696,-20.301
820,-2.3233,-3.3979,-2.568,-11.625,-6.5418,-20.301
821,-2.5062,-3.6057,-3.052,-12.1372,-7.0539,-20.4382
822,-2.3233,-3.3979,-2.7177,-11.8029,-6.7197,-20.301
823,-2.3233,-3.3979,-2.568,-11.6138,-6.5305,-20.301
824,-2.3233,-3.3979,-2.568,-11.421,-6.3378,-20.301
825,-2.3747,-3.4741,-2.9204,-12.0056,-6.9224,-20.3067
826,-2.9265,-4.026,-3.4723,-12.5575,-7.4743,-20.8585
827,-2.3663,-3.4658,-2.9121,-11.9972,-6.914,-20.301
828,-2.3233,-3.3979,-2.8062,-11.8914,-6.8082,-20.301
829,-2.3233,-3.3979,-2.568,-11.5548,-6.4716,-20.301
830,-2.3233,-3.3979,-2.568,-11.5494,-6.4662,-20.301
831,-2.4409,-3.5404,-2.9867,-12.0719,-6.9886,-20.3729
832,-2.3378,-3.4373,-2.8836,-11.9688,-6.8855,-20.301
833,-2.4209,-3.5204,-2.9667,-12.0519,-6.9686,-20.3529
834,-2.3233,-3.3979,-2.647,-11.7322,-6.6489,-20.301
835,-2.4775,-3.5769,-3.0232,-12.1084,-7.0252,-20.4094
836,-2.3233,-3.3979,-2.7284,-11.8136,-6.7304,-20.301
837,-2.7853,-3.8847,-3.331,-12.4162,-7.333,-20.7172
838,-2.4058,-3.5053,-2.9516,-12.0367,-6.9535,-20.3378
839,-2.3233,-3.3979,-2.568,-11.435,-6.3518,-20.301
840,-2.5635,-3.6629,-3.1092,-12.1944,-7.1112,-20.4954
841,-2.3233,-3.3979,-2.6828,-11.768,-6.6847,-20.301
842,-2.3233,-3.3979,-2.7344,-11.8196,-6.7363,-20.301
843,-2.3233,-3.3979,-2.568,-11.5764,-6.4932,-20.301
844,-2.3233,-3.3979,-2.568,-11.5757,-6.4925,-20.301
845,-2.3233,-3.3979,-2.568,-11.5673,-6.4841,-20.301
846,-2.5135,-3.613,-3.0593,-12.1445,-7.0612,-20.4455
847,-2.5898,-3.6893,-3.1356,-12.2208,-7.1375,-20.5218
848,-2.3233,-3.3979,-2.6515,-11.7366,-6.6534,-20.301
849,-2.3233,-3.3979,-2.6025,-11.6876,-6.6044,-20.301
850,-2.3233,-3.3979,-2.568,-11.5516,-6.4684,-20.301
851,-2.9279,-4.0274,-3.4737,-12.5588,-7.4756,-20.8599
852,-2.8887,-3.9882,-3.4345,-12.5197,-7.4364,-20.8207
853,-2.3233,-3.3979,-2.7569,-11.8421,-6.7588,-20.301
854,-2.3233,-3.3979,-2.568,-11.4932,-6.4099,-20.301
855,-2.3233,-3.3979,-2.568,-11.401,-6.3178,-20.301
856,-2.3233,-3.3979,-2.6177,-11.7029,-6.6196,-20.301
857,-2.4486,-3.548,-2.9943,-12.0795,-6.9963,-20.3805
858,-2.8526,-3.952,-3.3983,-12.4835,-7.4003,-20.7846
859,-2.3233,-3.3979,-2.7538,-11.839,-6.7557,-20.301
860,-2.3233,-3.3979,-2.568,-11.5514,-6.4681,-20.301
861,-2.4369,-3.5363,-2.9826,-12.0678,-6.9846,-20.3688
862,-2.3233,-3.3979,-2.6812,-11.7664,-6.6832,-20.301
863,-2.3233,-3.3979,-2.568,-11.5142,-6.431,-20.301
864,-2.9157,-4.0152,-3.4615,-12.5467,-7.4634,-20.8477
865,-2.3233,-3.3979,-2.568,-11.6434,-6.5602,-20.301
866,-2.6179,-3.7173,-3.1636,-12.2488,-7.1656,-20.5498
867,-2.5198,-3.6192,-3.0655,-12.1507,-7.0675,-20.4517
868,-2.7958,-3.8953,-3.3416,-12.4268,-7.3435,-20.7278
869,-2.3315,-3.431,-2.8773,-11.9625,-6.8792,-20.301
870,-2.3233,-3.3979,-2.8354,-11.9206,-6.8374,-20.301
871,-2.3233,-3.3979,-2.568,-11.6478,-6.5645,-20.301
872,-2.7664,-3.8659,-3.3122,-12.3974,-7.3141,-20.6984
873,-2.876,-3.9755,-3.4218,-12.507,-7.4237,-20.808
874,-2.3233,-3.3979,-2.568,-11.5535,-6.4702,-20.301
875,-2.3233,-3.3979,-2.7707,-11.8559,-6.7726,-20.301
876,-2.6811,-3.7806,-3.2269,-12.3121,-7.2288,-20.6131
877,-2.3233,-3.3979,-2.568,-11.5029,-6.4197,-20.301
878,-2.7988,-3.8983,-3.3446,-12.4297,-7.3465,-20.7308
879,-2.4158,-3.5153,-2.9616,-12.0468,-6.9635,-20.3478
880,-2.6653,-3.7648,-3.2111,-12.2962,-7.213,-20.5973
881,-2.6637,-3.7631,-3.2094,-12.2946,-7.2114,-20.5956
882,-2.9598,-4.0593,-3.5056,-12.5907,-7.5075,-20.8918
883,-2.3233,-3.3979,-2.568,-11.6332,-6.55,-20.301
884,-2.3233,-3.3979,-2.568,-11.5169,-6.4337,-20.301
885,-2.3233,-3.3979,-2.701,-11.7861,-6.7029,-20.301
886,-2.7809,-3.8804,-3.3267,-12.4118,-7.3286,-20.7129
887,-2.4392,-3.5387,-2.985,-12.0702,-6.9869,-20.3712
