candidate_id,operator_class,partition,tier,role,M_native,q_abs,q_sign,closure_depth,stability_status
QP093A-0123,OCTET_COMPOSITE,1+2+2,3body_standard,3-body standard letter (carrier + envelope + sensor),324,1,positive,3,BOUND_COLOR_CLOSED_HEAVY_CANDIDATE
QP093A-0124,GROUND_BARYON_3BODY,1+2+3,3body_standard,3-body standard letter (carrier + envelope + sensor),504,1,negative,0,BOUND_COLOR_CLOSED_STABLE_CANDIDATE
QP093A-0125,OCTET_COMPOSITE,1+2+4,3body_standard,3-body standard letter (carrier + envelope + sensor),756,0,neutral,3,BOUND_COLOR_CLOSED_HEAVY_CANDIDATE
QP093A-0126,GROUND_BARYON_3BODY,1+2+6,3body_standard,3-body standard letter (carrier + envelope + sensor),1476,1,negative,0,BOUND_COLOR_CLOSED_STABLE_CANDIDATE
QP093A-0127,OCTET_COMPOSITE,1+2+8,3body_standard,3-body standard letter (carrier + envelope + sensor),2484,1,positive,3,BOUND_COLOR_CLOSED_HEAVY_CANDIDATE
QP093A-0128,GROUND_BARYON_3BODY,1+2+9,3body_standard,3-body standard letter (carrier + envelope + sensor),3096,1,negative,0,BOUND_COLOR_CLOSED_HEAVY_CANDIDATE
QP093A-0129,GROUND_BARYON_3BODY,1+2+12,3body_standard,3-body standard letter (carrier + envelope + sensor),5364,1,negative,0,BOUND_COLOR_CLOSED_HEAVY_CANDIDATE
QP093A-0130,OCTET_COMPOSITE,1+3+3,3body_standard,3-body standard letter (carrier + envelope + sensor),684,2,negative,3,BOUND_COLOR_CLOSED_HEAVY_CANDIDATE
QP093A-0131,OCTET_COMPOSITE,1+3+4,3body_standard,3-body standard letter (carrier + envelope + sensor),936,1,negative,3,BOUND_COLOR_CLOSED_HEAVY_CANDIDATE
QP093A-0132,OCTET_COMPOSITE,1+3+6,3body_standard,3-body standard letter (carrier + envelope + sensor),1656,2,negative,3,BOUND_COLOR_CLOSED_HEAVY_CANDIDATE
QP093A-0134,OCTET_COMPOSITE,1+3+9,3body_standard,3-body standard letter (carrier + envelope + sensor),3276,2,negative,3,BOUND_COLOR_CLOSED_HEAVY_CANDIDATE
QP093A-0135,OCTET_COMPOSITE,1+3+12,3body_standard,3-body standard letter (carrier + envelope + sensor),5544,2,negative,3,BOUND_COLOR_CLOSED_HEAVY_CANDIDATE
QP093A-0136,GROUND_BARYON_3BODY,1+4+4,3body_standard,3-body standard letter (carrier + envelope + sensor),1188,2,negative,0,BOUND_COLOR_CLOSED_STABLE_CANDIDATE
QP093A-0137,OCTET_COMPOSITE,1+4+6,3body_standard,3-body standard letter (carrier + envelope + sensor),1908,3,negative,3,BOUND_COLOR_CLOSED_HEAVY_CANDIDATE
QP093A-0138,OCTET_COMPOSITE,1+4+8,3body_standard,3-body standard letter (carrier + envelope + sensor),2916,1,negative,3,BOUND_COLOR_CLOSED_HEAVY_CANDIDATE
QP093A-0139,OCTET_COMPOSITE,1+4+9,3body_standard,3-body standard letter (carrier + envelope + sensor),3528,3,negative,3,BOUND_COLOR_CLOSED_HEAVY_CANDIDATE
QP093A-0140,OCTET_COMPOSITE,1+4+12,3body_standard,3-body standard letter (carrier + envelope + sensor),5796,3,negative,3,BOUND_COLOR_CLOSED_HEAVY_CANDIDATE
QP093A-0141,OCTET_COMPOSITE,1+6+6,3body_standard,3-body standard letter (carrier + envelope + sensor),2628,5,negative,3,BOUND_COLOR_CLOSED_HEAVY_CANDIDATE
QP093A-0142,GROUND_BARYON_3BODY,1+6+8,3body_standard,3-body standard letter (carrier + envelope + sensor),3636,3,negative,0,BOUND_COLOR_CLOSED_STABLE_CANDIDATE
QP093A-0143,OCTET_COMPOSITE,1+6+9,3body_standard,3-body standard letter (carrier + envelope + sensor),4248,5,negative,3,BOUND_COLOR_CLOSED_HEAVY_CANDIDATE
QP093A-0144,OCTET_COMPOSITE,1+6+12,3body_standard,3-body standard letter (carrier + envelope + sensor),6516,5,negative,3,BOUND_COLOR_CLOSED_HEAVY_CANDIDATE
